Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Weizen ganzes Korn, gekocht, gebacken;226;8,7668;1,188;40,513;9,073
Gemüsemischung asiatische Art, gedünstet;31;2,1;0,3;3,9;2
Wildente Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);243;27;15;0;0
Blätterteig eifrei, gebacken;560;5,5;42,36;37,7;2,79
Currysauce indisch;67;1,02;4,6;4,85;0,9
Hähnchen ganz, entbeint, mit Haut, tiefgefroren, geschmort ohne Fett;205;25,61;11,39;0;0
Rotweinsauce von dunkler/brauner Grundsauce;71;1,02;4,6;5,28;0,4
Meerforelle tiefgefroren, gedünstet;98;16,4;3,44;0;0
Kaffeeersatz (Getränk) mit Mandeldrink, ungesüßt;6;0,1;0,074;0,94;0,53
Mokkasahneeis;291;3,7;24,9;12,96;0,1
Schweinelende gebraten im Ofen, mit Grundsauce dunkel/braun;125;20,41;4;1,7;0,2
Kaninchen Fleisch, tiefgefroren, geschmort ohne Fett;177;29,5;6,6;0;0
Eierteigwaren mit Roquefortsauce;234;7,7;14,962;16,666;0,862
Champignon tiefgefroren, gedünstet;50;6,45;0,482;5,1;3,4
Languste tiefgefroren, gekocht;76;15,926;1,358;0;0
Eierteigwaren mit Muschelsauce;114;5,7;2,875;15,7;1,1
Müslikekse/Müsliplätzchen (Vollkornmürbeteig) schokoliert;438;8;18;57,5;6,1
Rebhuhn Fleisch, tiefgefroren, gebraten ohne Fett (Ofen);324;54,4;11,8;0;0
Suppengrün/Suppenkraut, getrocknet, gekocht;67;2,738;0,583;10;5
Karpfen tiefgefroren, gedünstet;107;15,882;4,88;0;0
Ente Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);203;27,011;10,585;0;0
Rind Gulasch (Bug) tiefgefroren, geschmort ohne Fett;173;28,77;6,424;0;0
Mohnfüllung für Gebäck/Torten;315;10,26;13,7;34,24;6,63
Schwein Kammsteak, tiefgefroren, gebraten ohne Fett (Pfanne);189;22,81;10,9;0;0
Pferd Fleisch, tiefgefroren, geschmort ohne Fett;145;28,476;3,259;0,541;0
Kalb Hackfleisch, gebraten ohne Fett (Pfanne);257;26,591;16,687;0;0
Pute Fleisch, mit Haut, tiefgefroren, gegrillt;215;27,671;11,644;0;0
Hähnchen Brustfilet, tiefgefroren, gebraten ohne Fett (Ofen);144;31,85;1,86;0;0
Speisequarkzubereitung < 10 % Fett i. Tr., mit Fruchtzubereitung, Zucker und Süßungsmitteln;65;9,02;0,15;6,21;0,1
Hähnchen ganz, entbeint, mit Haut, tiefgefroren, gegrillt;239;25,61;15,18;0;0
Grünkohl-Eintopf mit Kartoffeln;66;2,43;2,2;7,5;3,3
Schaf Hinterhaxe, mager, tiefgefroren, gegrillt;161;29,7;4,72;0;0
Heidelbeerkompott ungesüßt;48;0,4;0,5;7,5;3,8
Pfeffersauce von dunkler/brauner Grundsauce;74;1,2;5;5,8;0,6
Hirsch Rücken, tiefgefroren, gebraten ohne Fett (Ofen);140;26,808;3,66;0;0
Semmelknödel gekocht;156;7,04;4,05;22,03;1,5
Eier-Frischteigwaren gekocht;172;7,26;2,29;29,64;2,14
Gemüsemischung Kaisergemüse, tiefgefroren;36;2,309;0,427;4,4;2,9
Barsch/Flussbarsch, tiefgefroren, gegrillt;96;22,54;0,7;0;0
Speisezwiebel tiefgefroren, gebraten ohne Fett (Pfanne);59;2,038;0,265;10,6;2,5
Pute Fleisch, ohne Haut, tiefgefroren, gegrillt;134;26,974;2,9;0;0
Selleriegemüse gekocht;26;1,333;0,3;2,41;3,7
Meeräsche tiefgefroren, gedünstet;98;18,214;2,75;0;0
Vanillepudding, Flammeri, zubereitet aus Pulver und Milch 3,5 % Fett, gesüßt;101;3,11;3,04;15,32;0,048
Porree/Lauch, tiefgefroren, gedünstet;37;1;0,296;6;2,6
Karotte/Möhre, tiefgefroren, gekocht;38;0,726;0,407;6,263;3,1
Kartoffelschichtspeise mit Sauerkraut und Kochschinken, überbacken;89;5,2;3,6;7,29;2,1
Süßkirschkompott zuckerreduziert;74;0,717;0,246;16,58;1,5
Schinkennockerln, Suppeneinlage;277;11,34;15,19;22,63;1,77
Ente Fleisch, mit Haut, tiefgefroren, gegrillt;268;24,983;18,654;0;0
Lauch gedünstet, mit Butter und Käse;108;3,264;7,79;5;2
Quark (Halbfettstufe) mit Konfitüre;127;10,6;4,4;10,4;0,2
Blumenkohl tiefgefroren, gedünstet;36;1,4;0,338;6,11;3,5
Zwiebelsauce von dunkler/brauner Grundsauce;67;1,15;4,2;5,69;0,7
Brandmasse/Brandteig, gebacken;274;10,38;14,29;24,94;1,83
Schwein Schinkenspeck, Rohpökelware, geräuchert, gekocht;137;25,2;3,79;0,589;0
Waffelkekse mit Nuss-Nougatcremefüllung, schokoliert;499;6,47;29,22;50,2;4,4
Rind Herz, tiefgefroren, geschmort ohne Fett;197;29,244;8,889;0;0
Pute Brust, ohne Haut, tiefgefroren, geschmort ohne Fett;145;34,111;0,914;0;0
Rind Bratenfleisch (Bug) tiefgefroren, gebraten ohne Fett (Ofen);161;26,933;5,889;0;0
Pute Keule, ohne Haut, tiefgefroren, gegrillt;176;31,538;5,554;0;0
Morchel getrocknet, gekocht;121;10,126;1,302;2,4;29,798
Schwein Stielkotelett, tiefgefroren, gebraten ohne Fett (Ofen);203;26,63;10,75;0;0
Teigwaren eifrei, mit Kalbsgulasch;115;11,4;2,9;10,4;0,7
Puddingfüllung für Gebäck/Torten;129;3,2;3,53;20,98;0,06
Rheinische Bratwurst gegrillt;240;12,28;21,11;0,09;0,05
Pferd Fleisch, tiefgefroren, gebraten ohne Fett (Ofen);150;29,516;3,268;0,585;0
Semmelknödel gedämpft;156;6,96;3,91;22,51;1,5
Meeresfrüchtemischung gedünstet;58;11,417;1,42;0;0
Schaf Vorderhaxe, mittelfett, tiefgefroren, geschmort ohne Fett;242;27,9;14,5;0;0
Schaf Keule, mittelfett, tiefgefroren, geschmort ohne Fett;242;27,9;14,5;0;0
Kartoffelpüree, zubereitet aus Instantpulver und Milch 3,5 % Fett;108;4,61;3,59;13,84;0,836
Mürbchen (Mürbeteig) schokoliert;501;6,54;26,61;57,1;3,45
Hähnchen Flügel, mit Haut, tiefgefroren, gebraten ohne Fett (Pfanne);219;25,66;12,94;0;0
Kalb Steak (Rücken) tiefgefroren, gebraten ohne Fett (Ofen);150;30,4;3,176;0;0
Katfisch/Steinbeißer, tiefgefroren, gebraten ohne Fett (Pfanne);97;18,762;2,4;0;0
Schokoladen-Biskuitplätzchen;420;12,9;9,43;68,4;5,08
Stint tiefgefroren, gedünstet;77;15,536;1,619;0;0
Mangokompott;90;0,7;0,338;20;1,3
Lauchsalat (gegart) mit Essigmarinade;110;1,84;8,96;4;1,9
Rinderragout mit Paprika;164;16,59;9,3;3,15;0,6
Gans Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);257;22,73;18,507;0;0
Schwein Kotelett (Rücken/cranial) tiefgefroren, geschmort ohne Fett;219;27,53;12,07;0;0
Ente Innereien, tiefgefroren, gebraten ohne Fett (Pfanne);240;27;14,62;0;0
Westfälische grobe Mettwurst, gebraten ohne Fett (Pfanne);390;20,4;34,14;0,18;0,1
Schwein Kamm, tiefgefroren, gebraten ohne Fett (Ofen);205;24,66;11,78;0;0
Schwein Frikadelle, gebraten ohne Fett (Ofen);270;19,07;19,08;5;0,7
Zartbitter-/Halbbitterschokolade, mit Haselnüssen;570;9,03;40,34;38,3;8,9
Mayonnaise, gestreckt mit saurer Sahne;419;2,6;44,3;2,2;0
Porree/Lauch, tiefgefroren, gekocht;31;0,8;0,261;5;2,3
Garnele/Granat/Krabbe, tiefgefroren, gekocht;94;19,11;1,973;0;0
Pute Keule, ohne Haut, tiefgefroren, gebraten ohne Fett (Ofen);189;34,692;5,554;0;0
Teigwaren eifrei, gekocht, gebacken;165;6,1;0,798;32,591;1,698
Eierteigwaren mit Weizenkeimen, gekocht;139;6,09;1,06;25,24;2,17
Rührei gebraten mit Zwiebeln;192;12,07;15,41;1,06;0,3
Schaf Filetsteak, tiefgefroren, gegrillt;170;33,15;4,18;0;0
Blumenkohl gekocht, mit Grundsauce hell/weiß;48;1,48;2,7;4,31;1,3
Creme brulee;351;5,3;24,7;26,82;0
Kirschgrütze;114;0,657;0,352;25,952;0,7
Schaf Kotelett, tiefgefroren, gebraten ohne Fett (Pfanne);393;19,39;35,068;0;0
Gelbflossen-Thun tiefgefroren, gebraten ohne Fett (Pfanne);121;29;0,55;0;0
Seehecht tiefgefroren, gedünstet;78;15,357;1,84;0;0
Karotte/Möhre, tiefgefroren, geschmort ohne Fett;44;0,816;0,458;7,111;3,4
Eisbein gepökelt, gekocht;196;23,03;11,29;0,579;0
Taube Fleisch, mit Haut, tiefgefroren, geschmort ohne Fett;202;32,047;8,233;0;0
Kalb Haxe, geschmort ohne Fett;140;24,189;4,811;0;0
Gans Innereien, tiefgefroren, geschmort ohne Fett;210;26,6;11,51;0;0
Suppenhuhn Fleisch, mit Haut, tiefgefroren, gekocht;246;24,485;16,419;0;0
Hähnchen Flügel, mit Haut, tiefgefroren, gegrillt;286;28,8;19,03;0;0
Gemüsemischung Leipziger Allerlei, tiefgefroren, gekocht;61;3,4;0,421;8,69;4
Toastbrot glutenfrei, getoastet;271;2,004;4,906;54;1,456
Kalb Hackfleisch, geschmort ohne Fett;208;23,032;12,836;0;0
Wildschwein Fleisch, tiefgefroren, geschmort ohne Fett;204;26,848;10,783;0;0
Steinpilz getrocknet, gekocht;140;16,189;1,199;9,8;18,85
Ente Fleisch, mit Haut, mariniert, gegrillt;278;23,35;20,42;0,18;0,1
Pfifferling getrocknet, gekocht;126;18,654;1,293;2,629;16,294
Rind Leberhack, tiefgefroren, gebraten ohne Fett (Pfanne);159;22,812;4,575;6,625;0
Europäische Auster tiefgefroren, gebraten ohne Fett (Pfanne);73;9,607;3,3;1,225;0
Zedernbrot;396;8,9;15,8;52,4;3,4
Weinsauerkraut gekocht;18;1,046;0,288;0,94;2,075
Vollkornteigwaren eifrei, gekocht, gebraten ohne Fett (Pfanne);132;5,5;1,13;23;4
Zuckermais tiefgefroren, gekocht;67;3;1,255;9,6;2,9
Sahnejoghurt mind. 10 % Fett, mit Fruchtzubereitung und Süßungsmitteln;110;2,8;8,266;5,4;0,1
Vollkornhefezopf;273;8,4;8,26;38;6,38
Schwein Herz, tiefgefroren, geschmort ohne Fett;195;29,106;8,7;0;0
Kalb Hackfleisch, gekocht;219;24,573;13,409;0;0
Teigwaren eifrei, gekocht, gebraten ohne Fett (Pfanne);149;5,5;0,716;29,265;1,524
Printen schokoliert;424;5,5;13,4;68,5;3,4
Schwein Hackfleisch, tiefgefroren, geschmort ohne Fett;393;27,71;31,36;0;0
Weißweinsauce von heller/weißer Grundsauce;50;0,64;3,5;2,85;0,17
Muscheln gedämpft, im Weißweinsud;91;3,95;6,649;0,22;0
Broccoli tiefgefroren, gebacken;45;3,1;0,9338;3,5;4,6
Schaf Schnitzel (Keule, mager) tiefgefroren, gebraten ohne Fett (Ofen);161;29,8;4,67;0;0
Vanille-Milchsuppe mit Ei, gebunden mit Stärke;103;5;4,85;9,73;0,019
Hase Fleisch, tiefgefroren, geschmort ohne Fett;155;30,627;3,594;0;0
Gemüsemischung Kaisergemüse, gekocht;31;1,96;0,363;3,9;2,6
Champignonsauce von dunkler/brauner Grundsauce;72;1,7;4,8;5,36;0,7
Zuckererbse tiefgefroren, gekocht;40;4;0,2;4,6;2
Venusmuschel tiefgefroren, gekocht;73;13,8;1,2;1,8;0
Rosinensauce von dunkler/brauner Grundsauce;88;1,2;4,7;9,6;0,8
Rind Vorderhesse, tiefgefroren, geschmort ohne Fett;163;27,126;6,057;0;0
Karpfen tiefgefroren, gebraten ohne Fett (Pfanne);138;21,375;5,83;0;0
Schaf Schnitzel (Keule, mager) tiefgefroren, gebraten ohne Fett (Pfanne);168;31,1;4,87;0;0
Spargel tiefgefroren, gekocht;34;2,39;0,19;4,85;1,8
Kalb Bug/Schulter, tiefgefroren, gebraten ohne Fett (Ofen);120;27,503;1,092;0;0
Dicke Bohne unreif, tiefgefroren, gekocht;68;5,8;0,7;6,4;6,4
Speiseeis (Schokolade, Vanille) gemischt, mit Eierlikör;223;3,12;9,92;26,1;1,21
Gemüse-Kartoffel-Brei, mit Karotte, Kürbis (ohne Salz, geeignet für Beikost);86;0,943;4,959;8,39;1,9
Kümmelsauce von heller/weißer Grundsauce;57;0,79;4,2;3,62;0,3
Limettensaft Konzentrat;148;2,757;1,2;9,315;0,79
Rind Tatar/Schabefleisch, tiefgefroren, gekocht;166;33;3,75;0;0
Tomatensauce aus frischen Tomaten und saurer Sahne;112;1,13;9,6;4,4;1,3
Cocktail, Pina Colada;89;0,583;3,924;2,8;0,96
Pilgermuschel/Jakobsmuschel, tiefgefroren, gratiniert ohne Fett (Ofen);69;16,987;0,111;0;0
Spinat tiefgefroren, gebacken;24;2,721;0,372;1,16;2,2
Franzbrötchen (Plunderteig);567;5,48;34,85;57;1,71
Porree/Lauch, tiefgefroren, geschmort ohne Fett;38;1,1;0,344;6;3
Butterpilz getrocknet, gekocht;131;10,538;1,489;13,52;19,353
Felchen/Maräne/Renke/Schnäpel, tiefgefroren, gebraten ohne Fett (Pfanne);132;24,492;3,611;0;0
Kalb Haxe, gebraten ohne Fett (Ofen);144;25,038;4,876;0;0
Champignon tiefgefroren, gebraten ohne Fett (Pfanne);58;7,51;0,561;5,9;3,9
Schaf Filetsteak, tiefgefroren, gebraten ohne Fett (Pfanne);156;31,38;3,44;0;0
Pute Brust, ohne Haut, tiefgefroren, gebraten ohne Fett (Pfanne);148;33,74;1,414;0;0
Pfirsichnektar;48;0,3;0,044;11,6;0,1
Pute Fleisch, mit Haut, tiefgefroren, geschmort ohne Fett;172;26,549;7,286;0;0
Blumenkohlsalat (gegart) mit Essigmarinade;132;1,42;12,08;3,84;1,8
Felchenfilet in Mandelkruste gebacken;225;27,119;12,075;0,63;1,7
Schwein Bauch (wie gewachsen) tiefgefroren, gekocht;357;22,49;29,64;0;0
Schwein Hackfleisch, tiefgefroren, gebraten ohne Fett (Pfanne);339;25,35;26,44;0;0
Schaf Bug/Schulter, fett, tiefgefroren, gekocht;408;27,2;33,3;0;0
Rind Steak (Rücken) tiefgefroren, gebraten ohne Fett (Ofen);162;29,523;4,877;0;0
Pute Innereien, tiefgefroren, geschmort ohne Fett;210;26,6;11,51;0;0
Suppenhuhn Innereien, tiefgefroren, gekocht;204;25,2;11,51;0;0
Kalb Haxe, gegrillt;140;23,16;5,299;0;0
Schaf Keule, mager, mariniert, geschmort ohne Fett;165;30,7;4,43;0,48;0,31
Rotzunge tiefgefroren, gebraten ohne Fett (Pfanne);84;18,406;1,12;0;0
Schokoladenflammeri/Schokoladenpudding, mit Vanillesauce;123;3,9;4,26;17,1;0,1
Beerenmischung mit Sauerkirschen, ungesüßt, gedünstet;53;1,2;0,3;8,4;3,7
Schwein Filetmedaillon, mariniert, gebraten ohne Fett (Pfanne);164;26,6;6,2;0,14;0,3
Matjeshering in Öl, Präserve, abgetropft;427;14,94;40,228;0;0
Blumenkohl gedünstet, mit Bechamelsauce;68;2,53;3,8;5,52;1,4
Kalb Steak (Rücken) tiefgefroren, gegrillt;131;25,723;3,157;0;0
Ente Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Pfanne);264;33,126;14,604;0;0
Mischpilze gebacken;47;4,9;0,4;3;7,08
Schwein/Rind, Hackfleisch gemischt, roh;250;18,43;19,55;0;0
Ente Schenkel, mit Haut, tiefgefroren, gegrillt;258;24,39;17,81;0;0
Schwein Filetmedaillon, mariniert, gegrillt;172;26,5;7,2;0,14;0,3
Barsch/Flussbarsch, tiefgefroren, pochiert;70;16,05;0,6;0;0
Steinbutt tiefgefroren, gebraten ohne Fett (Pfanne);97;19,831;1,946;0;0
Bückling (Hering) in Öl, Konserve, abgetropft;238;19,133;17,89;0;0
Schwein Kotelett (Rücken/cranial) tiefgefroren, gegrillt;226;27,64;12,84;0;0
Pute Brust, ohne Haut, tiefgefroren, gegrillt;139;31,711;1,303;0;0
Eisbein, Kochpökelware, gekocht;186;26,32;8,68;0,579;0
Kartoffeln gekocht, mit Kräuterquark und Butter;101;5,29;4,1;9,9;1,086
Schaf Vorderhaxe, mittelfett, tiefgefroren, gekocht;259;29,8;15,5;0;0
Vollkornteigwaren eifrei, gekocht, gebacken;147;6,1;1,26;25,6;4,4
Hörnchen (Blätterteig);425;4,18;32,19;28,65;2,12
Mischpilze getrocknet, gekocht;134;13,8;1,1;8,48;20,87
Hummer tiefgefroren, gekocht;80;14,722;2,346;0;0
Schwein Schinkenspeck, Rohpökelware, geräuchert, gebraten ohne Fett (Ofen);133;24,04;3,81;0,58;0
Perlhuhn Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);167;29,9;5,23;0;0
Knoblauch tiefgefroren, geschmort ohne Fett;134;8,318;0,578;4;39,301
Knoblauch tiefgefroren, gekocht;111;6,875;0,478;3;33,227
Kalb Brust, tiefgefroren, geschmort ohne Fett;229;23,061;15,147;0;0
Garnele/Granat/Krabbe, gekocht, gegrillt;138;27,952;2,945;0;0
Rind Hackfleisch, gebraten ohne Fett (Pfanne);303;26,577;21,853;0;0
Karotte/Möhre, tiefgefroren, gedünstet;46;0,862;0,484;7,438;3,6
Hähnchen Fleisch, ohne Haut, tiefgefroren, gebraten ohne Fett (Pfanne);156;27,5;5,1;0;0
Hase Fleisch, tiefgefroren, gebraten ohne Fett (Ofen);135;26,649;3,127;0;0
Plunderteig gebacken;486;8,85;28,46;47;2,9
Hähnchen Brustfilet, tiefgefroren, gegrillt;140;30,29;2,05;0;0
Kalb Rücken, tiefgefroren, geschmort ohne Fett;130;26,195;2,795;0;0
Pute Brust, ohne Haut, tiefgefroren, gebraten ohne Fett (Ofen);164;37,871;1,414;0;0
Schaf Kotelett, mariniert, gebraten ohne Fett (Pfanne);356;18,24;31,2;0,46;0,27
Kalb Hackfleisch, gebraten ohne Fett (Ofen);240;26,982;14,724;0;0
Schwein Filetmedaillon, tiefgefroren, gegrillt;148;28,79;3,63;0;0
Wollwurst/Geschwollene;196;11;16,86;0,08;0,05
Stint tiefgefroren, gebraten ohne Fett (Pfanne);100;20,662;1,912;0;0
Vanillesahneeis mit Orangenlikör;293;3;20,5;16,5;0
Reh Rücken, tiefgefroren, geschmort ohne Fett;152;29,151;3,89;0;0
Kalb Schnitzel (Keule) tiefgefroren, gegrillt;116;26,854;0,915;0;0
Kalb Keule, tiefgefroren, gebraten ohne Fett (Ofen);114;26,854;0,778;0;0
Sprotte in Öl, Konserve, abgetropft;244;17,278;19,4;0;0
Hähnchen Innereien, gebraten ohne Fett (Pfanne);163;25,05;6,94;0;0
Erdbeerkompott ungesüßt;41;0,852;0,368;6,941;1,9
Rosenkohl tiefgefroren, gedünstet;47;5,15;0,394;2,62;5,1
Mischpilze tiefgefroren;43;4,4;0,4;2,71;6,38
Rind Leber, tiefgefroren, gebraten ohne Fett (Pfanne);159;22,812;4,575;6,625;0
Milchreis mit Milch 3,5 % Fett und Stachelbeerkompott;126;3,69;2,34;22,1;1
Gans Innereien, tiefgefroren, gebraten ohne Fett (Pfanne);236;26,6;14,39;0;0
Rosenkohl tiefgefroren, gekocht;40;4,45;0,34;2,26;4,6
Sahneflammeri/Sahnepudding (als Dessert) mit Schokoladensauce;202;4;12,92;17,4;0,2
Schwein Leber, tiefgefroren, gebraten ohne Fett (Pfanne);147;23,15;5,55;1,163;0
Eierteigwaren gekocht, gebacken;148;5,9;1,034;28,09;1,512
Zitronensaft Konzentrat;150;3,124;1,5;8,429;0,64
Gans Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Pfanne);296;24,173;22,143;0;0
Schaf Kotelett, tiefgefroren, gegrillt;464;20,434;42,514;0;0
Rosenkohl tiefgefroren, gebacken;53;5,816;0,445;2,96;5,8
Rind Steak (Rücken) tiefgefroren, gegrillt;151;26,283;5,101;0;0
Zabaione (mit Alkohol);360;5,3;10,8;48;0
Taube Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);217;32,983;9,5;0;0
Rettichsalat mit Essigmarinade;96;0,88;8,75;2,44;1
Wildschwein Fleisch, tiefgefroren, gegrillt;209;25,644;11,848;0;0
Broccoli tiefgefroren, gebraten ohne Fett (Pfanne);63;4,4;1,326;4,8;6,6
Currybratwurst gebraten ohne Fett (Pfanne);257;13,38;22,57;0,05;0,02
Kartoffel ungeschält, tiefgefroren, gebacken;114;2,73;0,133;24,6;1,892
Gemüsemischung asiatische Art, gebraten ohne Fett (Pfanne);44;3;0,4;5,4;3
Weizenvollkorntoastbrot getoastet;292;10,4;4,32;48;9,33
Kalb Herz, tiefgefroren, gebraten ohne Fett (Pfanne);158;23,483;7,162;0;0
Schwein Filet/Lende, tiefgefroren, gebraten ohne Fett (Ofen);144;28,87;3,17;0;0
Gelbflossen-Thun tiefgefroren, gedünstet;91;21,8;0,47;0;0
Kalb Brust, tiefgefroren, gekocht;232;23,657;15,214;0;0
Fleischkäse weiß;299;14,55;26,68;0,1;0,06
Rind Bratenfleisch (Bug) tiefgefroren, geschmort ohne Fett;163;27,126;6,057;0;0
Hähnchen Innereien, geschmort ohne Fett;172;28,69;6,36;0;0
Schwarzwurzel tiefgefroren, gekocht;58;1,386;0,429;8,3;5
Kuchen aus Rührmasse/Rührkuchen;393;7,4;18,42;48,4;2,04
Pute Keule, ohne Haut, tiefgefroren, gebraten ohne Fett (Pfanne);166;29,544;5,309;0;0
Rind Keule, tiefgefroren, geschmort ohne Fett;188;28,6;8,2;0;0
Milchschokoladen-Riegel gefüllt mit Vollkornkeks;528;6,96;30,63;53,7;4,73
Schaf Hinterhaxe, mittelfett, tiefgefroren, gebraten ohne Fett (Ofen);219;25,2;13,1;0;0
Schwertfisch tiefgefroren, gedünstet;96;17,321;2,96;0;0
Geflügelbockwurst mit Schweinefleisch, gargezogen;126;12,22;8,6;0;0,06
Rind Steak (Rücken) mariniert, gegrillt;166;24,14;7,49;0,16;0,2
Hähnchen ganz, entbeint, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);208;24,17;12,37;0;0
Schwein Schnitzel (Oberschale) tiefgefroren, gebraten ohne Fett (Ofen);131;28,12;2,027;0;0
Wachtel Fleisch, ohne Haut, tiefgefroren, gebraten ohne Fett (Pfanne);155;29,7;4,03;0;0
Hähnchen Brustfilet, tiefgefroren, geschmort ohne Fett;134;30,13;1,53;0;0
Schaf Hinterhaxe, mager, tiefgefroren, geschmort ohne Fett;159;30,3;4,19;0;0
Schwein Bauchspeck, Rohpökelware, geräuchert, gekocht;305;19,81;24,86;0,581;0
Bohne grün, tiefgefroren, gedünstet;30;2;0,284;4;2,234
Hähnchen Fleisch, ohne Haut, tiefgefroren, gegrillt;172;27,8;6,7;0;0
Schwein Vordereisbein/Vorderhaxe, tiefgefroren, gebraten ohne Fett (Ofen);249;31,2;13,78;0;0
Kalb Brust, tiefgefroren, gebraten ohne Fett (Ofen);234;23,87;15,351;0;0
Heilbutt/Weißer Heilbutt, tiefgefroren, gebraten ohne Fett (Pfanne);155;23,869;6,56;0;0
Kalb Hackfleisch, gegrillt;256;26,211;16,806;0;0
Rührei gebraten mit Champignons;148;11,9;10,57;1,3;0,7
Spargel tiefgefroren, gebraten ohne Fett (Pfanne);59;4,109;0,326;8,33;3
Gemüsemischung asiatische Art, gekocht;28;1,9;0,3;3,3;2
Broccoli tiefgefroren, gekocht;33;2,3;0,6938;2,5;3,6
Schwein Filet/Lende, tiefgefroren, gegrillt;154;29,97;3,78;0;0
Wildlachs tiefgefroren, gedünstet;163;17,355;10,419;0;0
Grießklößchen gekocht;122;6,26;4,98;12,63;0,75
Pilgermuschel/Jakobsmuschel, tiefgefroren, gebraten ohne Fett (Pfanne);68;16,652;0,112;0;0
Edelkrebs/Flusskrebs, tiefgefroren, gebraten ohne Fett (Pfanne);79;18,269;0,603;0;0
Wiener Sandtorte;407;4,94;22,85;44,9;0,78
Schwein Frühstücksspeck, Rohpökelware, geräuchert, gekocht;287;18,6;23,34;0,546;0
Rind Keule, tiefgefroren, gebraten ohne Fett (Ofen);171;26,2;7,4;0;0
Lachs tiefgefroren, gebraten ohne Fett (Ofen);198;22,777;11,875;0;0
Schaf Hinterhaxe, mittelfett, tiefgefroren, geschmort ohne Fett;242;27,9;14,5;0;0
Schwein Kammsteak, tiefgefroren, gegrillt;226;25,26;13,89;0;0
Champignon tiefgefroren, gebacken;50;6,36;0,475;5,1;3,3
Lammschmorbraten mit Sauce;139;19,03;6,2;1,69;0,13
Spargel tiefgefroren, gebacken;37;2,562;0,204;5,2;1,9
Bohne grün, tiefgefroren, gekocht;28;1,9;0,261;3,6;2,123
Gemüsemischung asiatische Art, geschmort ohne Fett;32;2,2;0,3;4,1;2
Rind Hinterhesse, tiefgefroren, gekocht;161;26,4;6,2;0;0
Kartoffeln (als Pellkartoffeln) gebraten;200;2,88;11,924;18,691;3,35
Rostbratwurst gegrillt;201;18,09;14,26;0,09;0,05
Pute Flügel, mit Haut, tiefgefroren, gebraten ohne Fett (Pfanne);264;27,5;17,1;0;0
Schwein Vordereisbein/Vorderhaxe, tiefgefroren, gekocht;238;29,99;13,11;0;0
Kalb Filet/Lende, tiefgefroren, gebraten ohne Fett (Ofen);135;29,074;2,08;0;0
Gemüse-Eintopf mit Rindfleisch;75;5,39;2,9;6;1,7
Spinat tiefgefroren, gebraten ohne Fett (Pfanne);30;3,452;0,472;1,46;2,8
Schaf Vorderhaxe, mittelfett, tiefgefroren, gegrillt;256;27,3;16,3;0;0
Schaf Bug/Schulter, fett, tiefgefroren, geschmort ohne Fett;383;25,5;31,2;0;0
Wildschwein Fleisch, tiefgefroren, gekocht;224;29,405;11,81;0;0
Meerrettichsauce von heller/weißer Grundsauce;76;1,5;5,6;4,56;0,7
Spinat tiefgefroren, gekocht;20;2,288;0,313;0,97;1,9
Pute Flügel, mit Haut, tiefgefroren, gegrillt;294;31,1;18,9;0;0
Austernpilz getrocknet, gekocht;131;13,46;0,895;5,17;24,858
Vollkornmürbeteig süß gebacken;510;7,46;29,56;50,4;6,49
Meeräsche tiefgefroren, gebraten ohne Fett (Pfanne);126;24,225;3,25;0;0
Lachs tiefgefroren, gegrillt;206;22,944;12,649;0;0
Gans Schenkel tiefgefroren, geschmort ohne Fett;195;22,57;11,618;0;0
Zuckermais tiefgefroren, gebraten ohne Fett (Pfanne);84;3,8;1,571;12;3,6
Barsch/Flussbarsch, tiefgefroren, gebraten ohne Fett (Pfanne);94;21,85;0,7;0;0
Steinbutt tiefgefroren, gedünstet;74;14,911;1,648;0;0
Broccoli tiefgefroren, gedünstet;34;2,4;0,7207;2,6;3,6
Languste tiefgefroren, gegrillt;115;25,158;1,642;0;0
Hähnchen Herz, tiefgefroren, geschmort ohne Fett;152;15,85;9,87;0;0
Geflügelbratwurst gebraten ohne Fett (Pfanne);220;13,35;18,43;0,1;0,05
Kaffeeersatz (Getränk) mit Zucker;13;0,074;0,002;2,813;0,533
Schwein Hackfleisch, tiefgefroren, gegrillt;363;24,52;29,41;0;0
Poularde Fleisch, mit Haut, tiefgefroren, gebraten ohne Fett (Ofen);190;24,1;10,4;0;0
Königslachs tiefgefroren, gedünstet;163;17,355;10,419;0;0
Große Sandklaffmuschel tiefgefroren, gekocht;54;9,844;1,638;0;0
Schaf Hinterhaxe, mittelfett, tiefgefroren, gegrillt;256;27,3;16,3;0;0
Reisrand;185;5,3;9,16;20;0,6
Bigosch (Eintopf mit Schweinefleisch, Kartoffeln, Sauerkraut und Weißkraut);139;6,8;9,8;5;1,5
